# Four-tile direct derivation wait report

allFourTileShapes: 66045
enumeratedDerivations: 5100
tenpaiReports: 3756

## Reducibility

### Reducible
count: 1647
waitCoreCacheHits: 1802
waitCoreCacheMisses: 34
waitCoreCacheEntries: 34

### Irreducible
count: 2109

#### Groups by waitDecompositionCodes
groupCount: 11
waitDecompositionCodes	waitDecompositionCodesKey	count	representativeTiles	representativeWaits
55m55z	5m5z	irreducible	[9, 9]	7137
4477z	47z	irreducible	[9, 9]	7137
44p77s	4p7s	irreducible	[9, 9]	7137
789m5p	5p	reducible	[26]	24
1377p	2p	irreducible	[21]	20
66m11p	6m1p	irreducible	[9, 9]	7137
4466z	46z	irreducible	[9, 9]	7137
5788m	6m	irreducible	[21]	20
5568p	7p	irreducible	[21]	20
23p44z	14p	irreducible	[15, 15]	11895
99m66z	9m6z	irreducible	[9, 9]	7137
23s66z	14s	irreducible	[15, 15]	11895
33p23s	14s	irreducible	[15, 15]	11895
23s77z	14s	irreducible	[15, 15]	11895
5589s	7s	irreducible	[33]	29
22p23s	14s	irreducible	[15, 15]	11895
111m4z	4z	reducible	[34]	30
7m234p	7m	reducible	[26]	24
555s1z	1z	reducible	[34]	30
99m77z	9m7z	irreducible	[9, 9]	7137
34s22z	25s	irreducible	[15, 15]	11895
33m34p	25p	irreducible	[15, 15]	11895
999m4z	4z	reducible	[34]	30
89s11z	7s	irreducible	[33]	29
13m44p	2m	irreducible	[21]	20
4455z	45z	irreducible	[9, 9]	7137
2m123p	2m	reducible	[26]	24
111p4z	4z	reducible	[34]	30
99m55z	9m5z	irreducible	[9, 9]	7137
66s11z	6s1z	irreducible	[9, 9]	7137
99p67s	58s	irreducible	[15, 15]	11895
45p33z	36p	irreducible	[15, 15]	11895
9m444z	9m	reducible	[34]	30
88p45s	36s	irreducible	[15, 15]	11895
99m12p	3p	irreducible	[33]	29
77m56p	47p	irreducible	[15, 15]	11895
23s55z	14s	irreducible	[15, 15]	11895
999m5z	5z	reducible	[34]	30
567m1z	1z	reducible	[26]	24
55m24p	3p	irreducible	[21]	20
666p1s	1s	reducible	[34]	30
1277s	3s	irreducible	[33]	29
77m67p	58p	irreducible	[15, 15]	11895
1167p	58p	irreducible	[15, 15]	11895
234s3z	3z	reducible	[26]	24
789m9s	9s	reducible	[26]	24
33p99s	3p9s	irreducible	[9, 9]	7137
46s44z	5s	irreducible	[21]	20
8p789s	8p	reducible	[26]	24
56p88s	47p	irreducible	[15, 15]	11895
11m68s	7s	irreducible	[21]	20
567p5s	5s	reducible	[26]	24
3378m	69m	irreducible	[15, 15]	11895
9m888s	9m	reducible	[34]	30
2999m	2m	reducible	[34]	30
4447z	7z	reducible	[34]	30
2346s	6s	reducible	[26]	24
333s4z	4z	reducible	[34]	30
4446z	6z	reducible	[34]	30
88m13s	2s	irreducible	[21]	20
66m12p	3p	irreducible	[33]	29
8m234s	8m	reducible	[26]	24
4556p	5p	irreducible	[21, 26]	19028
55m44z	5m4z	irreducible	[9, 9]	7137
66m89p	7p	irreducible	[33]	29
77m66s	7m6s	irreducible	[9, 9]	7137
4m777z	4m	reducible	[34]	30
4445z	5z	reducible	[34]	30
12p55z	3p	irreducible	[33]	29
66m55s	6m5s	irreducible	[9, 9]	7137
68m55s	7m	irreducible	[21]	20
44p46s	5s	irreducible	[21]	20
6m234s	6m	reducible	[26]	24
22p79s	8s	irreducible	[21]	20
6p555s	6p	reducible	[34]	30
4m666z	4m	reducible	[34]	30
7789s	7s	irreducible	[26, 33]	22992
1m444s	1m	reducible	[34]	30
1p777z	1p	reducible	[34]	30
11p46s	5s	irreducible	[21]	20
34m77p	25m	irreducible	[15, 15]	11895
4555s	346s	irreducible	[15, 15, 34]	18829815
99m55p	9m5p	irreducible	[9, 9]	7137
77m12s	3s	irreducible	[33]	29
222s1z	1z	reducible	[34]	30
45m88s	36m	irreducible	[15, 15]	11895
1222z	1z	reducible	[34]	30
22p45s	36s	irreducible	[15, 15]	11895
888s5z	5z	reducible	[34]	30
777m2s	2s	reducible	[34]	30
1112m	23m	irreducible	[33, 34]	23789
678m1s	1s	reducible	[26]	24
44m46s	5s	irreducible	[21]	20
123m9p	9p	reducible	[26]	24
1p666z	1p	reducible	[34]	30
3367m	58m	irreducible	[15, 15]	11895
888s7z	7z	reducible	[34]	30
12m55p	3m	irreducible	[33]	29
6677m	67m	irreducible	[9, 9]	7137
999m7z	7z	reducible	[34]	30
44m57p	6p	irreducible	[21]	20
5677p	47p	irreducible	[15, 15, 26]	15066231
888s6z	6z	reducible	[34]	30
3379p	8p	irreducible	[21]	20
999m6z	6z	reducible	[34]	30
13s33z	2s	irreducible	[21]	20
6m567s	6m	reducible	[26]	24
12p77z	3p	irreducible	[33]	29
7m999s	7m	reducible	[34]	30
44m79s	8s	irreducible	[21]	20
12p66z	3p	irreducible	[33]	29
57p22z	6p	irreducible	[21]	20
777p2s	2s	reducible	[34]	30
77m33z	7m3z	irreducible	[9, 9]	7137
24m33s	3m	irreducible	[21]	20
4m555z	4m	reducible	[34]	30
12m22s	3m	irreducible	[33]	29
6677s	67s	irreducible	[9, 9]	7137
11s44z	1s4z	irreducible	[9, 9]	7137
57m66p	6m	irreducible	[21]	20
1255m	3m	irreducible	[33]	29
678m3s	3s	reducible	[26]	24
1p555z	1p	reducible	[34]	30
888m2s	2s	reducible	[34]	30
2224s	34s	irreducible	[21, 34]	23780
11p79s	8s	irreducible	[21]	20
234p8s	8s	reducible	[26]	24
46m88p	5m	irreducible	[21]	20
777m8s	8s	reducible	[34]	30
11s33z	1s3z	irreducible	[9, 9]	7137
222m8p	8p	reducible	[34]	30
5568m	7m	irreducible	[21]	20
46m55s	5m	irreducible	[21]	20
88m22p	8m2p	irreducible	[9, 9]	7137
66m22z	6m2z	irreducible	[9, 9]	7137
5p444s	5p	reducible	[34]	30
5789m	5m	reducible	[26]	24
33m99p	3m9p	irreducible	[9, 9]	7137
7899p	69p	irreducible	[15, 15, 26]	15066231
1123s	14s	irreducible	[15, 15, 26]	15066231
57s33z	6s	irreducible	[21]	20
68m22p	7m	irreducible	[21]	20
1115p	5p	reducible	[34]	30
1m456s	1m	reducible	[26]	24
68m77s	7m	irreducible	[21]	20
567p1z	1z	reducible	[26]	24
2m789p	2m	reducible	[26]	24
4449m	9m	reducible	[34]	30
888m8s	8s	reducible	[34]	30
888s4z	4z	reducible	[34]	30
3m123p	3m	reducible	[26]	24
2m111p	2m	reducible	[34]	30
4555m	346m	irreducible	[15, 15, 34]	18829815
45s11z	36s	irreducible	[15, 15]	11895
567s3z	3z	reducible	[26]	24
999m6s	6s	reducible	[34]	30
1112s	23s	irreducible	[33, 34]	23789
89m44z	7m	irreducible	[33]	29
4577s	36s	irreducible	[15, 15]	11895
1235m	5m	reducible	[26]	24
2666m	2m	reducible	[34]	30
5588m	58m	irreducible	[9, 9]	7137
88m66p	8m6p	irreducible	[9, 9]	7137
33m45p	36p	irreducible	[15, 15]	11895
4488m	48m	irreducible	[9, 9]	7137
46s55z	5s	irreducible	[21]	20
99s77z	9s7z	irreducible	[9, 9]	7137
1118s	8s	reducible	[34]	30
68m11p	7m	irreducible	[21]	20
5m456s	5m	reducible	[26]	24
123m8s	8s	reducible	[26]	24
9m777p	9m	reducible	[34]	30
99s66z	9s6z	irreducible	[9, 9]	7137
999m3p	3p	reducible	[34]	30
6s777z	6s	reducible	[34]	30
2p888s	2p	reducible	[34]	30
5m678p	5m	reducible	[26]	24
46s77z	5s	irreducible	[21]	20
55p22z	5p2z	irreducible	[9, 9]	7137
678m7s	7s	reducible	[26]	24
3s111z	3s	reducible	[34]	30
3777z	3z	reducible	[34]	30
6888p	67p	irreducible	[21, 34]	23780
888p4s	4s	reducible	[34]	30
46s66z	5s	irreducible	[21]	20
79m33p	8m	irreducible	[21]	20
456m2s	2s	reducible	[26]	24
3666z	3z	reducible	[34]	30
89m55z	7m	irreducible	[33]	29
99m55s	9m5s	irreducible	[9, 9]	7137
1m111s	1m	reducible	[34]	30
2p444z	2p	reducible	[34]	30
88m57s	6s	irreducible	[21]	20
1m123s	1m	reducible	[26]	24
99s55z	9s5z	irreducible	[9, 9]	7137
11m56p	47p	irreducible	[15, 15]	11895
444m4s	4s	reducible	[34]	30
99m88p	9m8p	irreducible	[9, 9]	7137
24m44p	3m	irreducible	[21]	20
56p11s	47p	irreducible	[15, 15]	11895
333p3z	3z	reducible	[34]	30
33p79s	8s	irreducible	[21]	20
68p44s	7p	irreducible	[21]	20
35m66s	4m	irreducible	[21]	20
22m33s	2m3s	irreducible	[9, 9]	7137
78m99p	69m	irreducible	[15, 15]	11895
234m5s	5s	reducible	[26]	24
456m7s	7s	reducible	[26]	24
3345s	36s	irreducible	[15, 15, 26]	15066231
3666p	3p	reducible	[34]	30
2333m	124m	irreducible	[15, 15, 34]	18829815
99m11p	9m1p	irreducible	[9, 9]	7137
44p11s	4p1s	irreducible	[9, 9]	7137
3555z	3z	reducible	[34]	30
345s2z	2z	reducible	[26]	24
66p34s	25s	irreducible	[15, 15]	11895
57p22s	6p	irreducible	[21]	20
5667m	6m	irreducible	[21, 26]	19028
2347m	7m	reducible	[26]	24
5p111s	5p	reducible	[34]	30
222m5s	5s	reducible	[34]	30
44m57s	6s	irreducible	[21]	20
333m2z	2z	reducible	[34]	30
77p88s	7p8s	irreducible	[9, 9]	7137
222m9s	9s	reducible	[34]	30
99m78s	69s	irreducible	[15, 15]	11895
55m22p	5m2p	irreducible	[9, 9]	7137
2888m	2m	reducible	[34]	30
2289m	7m	irreducible	[33]	29
2s333z	2s	reducible	[34]	30
23s44z	14s	irreducible	[15, 15]	11895
678p4s	4s	reducible	[26]	24
13m66s	2m	irreducible	[21]	20
8m777p	8m	reducible	[34]	30
