# Four-tile direct derivation wait report

allFourTileShapes: 66045
enumeratedDerivations: 5100
tenpaiReports: 3756

## Reducibility

### Reducible
count: 1647
waitCoreCacheHits: 1802
waitCoreCacheMisses: 34
waitCoreCacheEntries: 34

### Irreducible
count: 2109

#### Groups by waitDecompositionCodes
groupCount: 11
waitDecompositionCodes	waitDecompositionCodesKey	count	representativeTiles	representativeWaits
1113m	23m	irreducible	[21, 34]	23780
4s777z	4s	reducible	[34]	30
44m34p	25p	irreducible	[15, 15]	11895
66s77z	6s7z	irreducible	[9, 9]	7137
888p3z	3z	reducible	[34]	30
34m44p	25m	irreducible	[15, 15]	11895
3377z	37z	irreducible	[9, 9]	7137
6s444z	6s	reducible	[34]	30
77m12p	3p	irreducible	[33]	29
6678p	69p	irreducible	[15, 15, 26]	15066231
78p44s	69p	irreducible	[15, 15]	11895
3366z	36z	irreducible	[9, 9]	7137
33m33p	3m3p	irreducible	[9, 9]	7137
3p555s	3p	reducible	[34]	30
4s666z	4s	reducible	[34]	30
1444m	1m	reducible	[34]	30
123p3z	3z	reducible	[26]	24
7p555z	7p	reducible	[34]	30
5578s	69s	irreducible	[15, 15]	11895
44m13s	2s	irreducible	[21]	20
79p22z	8p	irreducible	[21]	20
6899m	7m	irreducible	[21]	20
2235s	4s	irreducible	[21]	20
57m77z	6m	irreducible	[21]	20
999p3z	3z	reducible	[34]	30
57m66z	6m	irreducible	[21]	20
222p3z	3z	reducible	[34]	30
6m555z	6m	reducible	[34]	30
3355z	35z	irreducible	[9, 9]	7137
3p999s	3p	reducible	[34]	30
2m777p	2m	reducible	[34]	30
5799m	6m	irreducible	[21]	20
4448p	8p	reducible	[34]	30
2224z	4z	reducible	[34]	30
34m44s	25m	irreducible	[15, 15]	11895
12s22z	3s	irreducible	[33]	29
88m33s	8m3s	irreducible	[9, 9]	7137
44m11z	4m1z	irreducible	[9, 9]	7137
2346m	6m	reducible	[26]	24
678m5p	5p	reducible	[26]	24
1789s	1s	reducible	[26]	24
1567p	1p	reducible	[26]	24
23p33z	14p	irreducible	[15, 15]	11895
89m77p	7m	irreducible	[33]	29
22p66s	2p6s	irreducible	[9, 9]	7137
77p33z	7p3z	irreducible	[9, 9]	7137
333m2s	2s	reducible	[34]	30
4s444z	4s	reducible	[34]	30
1555m	1m	reducible	[34]	30
78p22z	69p	irreducible	[15, 15]	11895
345m3s	3s	reducible	[26]	24
5566s	56s	irreducible	[9, 9]	7137
4p444s	4p	reducible	[34]	30
444m3p	3p	reducible	[34]	30
11m22s	1m2s	irreducible	[9, 9]	7137
222s4z	4z	reducible	[34]	30
22p12s	3s	irreducible	[33]	29
6m777z	6m	reducible	[34]	30
3m333s	3m	reducible	[34]	30
777s1z	1z	reducible	[34]	30
3356p	47p	irreducible	[15, 15]	11895
2223m	134m	irreducible	[15, 15, 34]	18829815
789m2s	2s	reducible	[26]	24
666m1s	1s	reducible	[34]	30
4888s	4s	reducible	[34]	30
6m666z	6m	reducible	[34]	30
222p6s	6s	reducible	[34]	30
1146s	5s	irreducible	[21]	20
345m9p	9p	reducible	[26]	24
123m3s	3s	reducible	[26]	24
79p33s	8p	irreducible	[21]	20
444p5s	5s	reducible	[34]	30
234m4s	4s	reducible	[26]	24
3588s	4s	irreducible	[21]	20
44p35s	4s	irreducible	[21]	20
555m7p	7p	reducible	[34]	30
7p444z	7p	reducible	[34]	30
79p11s	8p	irreducible	[21]	20
7899s	69s	irreducible	[15, 15, 26]	15066231
11p99s	1p9s	irreducible	[9, 9]	7137
888p6s	6s	reducible	[34]	30
9p999s	9p	reducible	[34]	30
88m46s	5s	irreducible	[21]	20
88m55p	8m5p	irreducible	[9, 9]	7137
1255s	3s	irreducible	[33]	29
12m22p	3m	irreducible	[33]	29
1157p	6p	irreducible	[21]	20
444m6z	6z	reducible	[34]	30
555s4z	4z	reducible	[34]	30
2334p	3p	irreducible	[21, 26]	19028
12m55s	3m	irreducible	[33]	29
33m46p	5p	irreducible	[21]	20
6m555p	6m	reducible	[34]	30
7p888s	7p	reducible	[34]	30
444m5z	5z	reducible	[34]	30
9p234s	9p	reducible	[26]	24
23m22z	14m	irreducible	[15, 15]	11895
3367s	58s	irreducible	[15, 15]	11895
33m56s	47s	irreducible	[15, 15]	11895
5599s	59s	irreducible	[9, 9]	7137
77p34s	25s	irreducible	[15, 15]	11895
12m99s	3m	irreducible	[33]	29
3678m	3m	reducible	[26]	24
4p456s	4p	reducible	[26]	24
222m9p	9p	reducible	[34]	30
6679s	8s	irreducible	[21]	20
55m22s	5m2s	irreducible	[9, 9]	7137
7m678p	7m	reducible	[26]	24
666m6p	6p	reducible	[34]	30
3m111p	3m	reducible	[34]	30
444m4z	4z	reducible	[34]	30
44p79s	8s	irreducible	[21]	20
88s11z	8s1z	irreducible	[9, 9]	7137
2278m	69m	irreducible	[15, 15]	11895
57m33p	6m	irreducible	[21]	20
3344z	34z	irreducible	[9, 9]	7137
444m1p	1p	reducible	[34]	30
22p99s	2p9s	irreducible	[9, 9]	7137
88m22z	8m2z	irreducible	[9, 9]	7137
3458m	8m	reducible	[26]	24
4466p	46p	irreducible	[9, 9]	7137
77m44z	7m4z	irreducible	[9, 9]	7137
88m67p	58p	irreducible	[15, 15]	11895
88m33p	8m3p	irreducible	[9, 9]	7137
99m89s	7s	irreducible	[33]	29
678s4z	4z	reducible	[26]	24
5667s	6s	irreducible	[21, 26]	19028
24p88s	3p	irreducible	[21]	20
33p77s	3p7s	irreducible	[9, 9]	7137
2m666z	2m	reducible	[34]	30
11m11z	1m1z	irreducible	[9, 9]	7137
33m55p	3m5p	irreducible	[9, 9]	7137
1999s	1s	reducible	[34]	30
22m44p	2m4p	irreducible	[9, 9]	7137
123m7p	7p	reducible	[26]	24
99m22p	9m2p	irreducible	[9, 9]	7137
44m77s	4m7s	irreducible	[9, 9]	7137
57m44z	6m	irreducible	[21]	20
2m777z	2m	reducible	[34]	30
3379m	8m	irreducible	[21]	20
44p44s	4p4s	irreducible	[9, 9]	7137
22m34s	25s	irreducible	[15, 15]	11895
24m77z	3m	irreducible	[21]	20
6999m	6m	reducible	[34]	30
234m9p	9p	reducible	[26]	24
46m33z	5m	irreducible	[21]	20
24m66z	3m	irreducible	[21]	20
3888p	3p	reducible	[34]	30
567m3z	3z	reducible	[26]	24
1m444p	1m	reducible	[34]	30
2777s	2s	reducible	[34]	30
99m66s	9m6s	irreducible	[9, 9]	7137
3445m	4m	irreducible	[21, 26]	19028
7888p	679p	irreducible	[15, 15, 34]	18829815
66m22p	6m2p	irreducible	[9, 9]	7137
888p5z	5z	reducible	[34]	30
3456m	36m	irreducible	[26, 26]	19032
88m23s	14s	irreducible	[15, 15]	11895
89m33z	7m	irreducible	[33]	29
55p77s	5p7s	irreducible	[9, 9]	7137
2m555z	2m	reducible	[34]	30
4666m	45m	irreducible	[21, 34]	23780
56m99p	47m	irreducible	[15, 15]	11895
24m55z	3m	irreducible	[21]	20
99p22s	9p2s	irreducible	[9, 9]	7137
55m56p	47p	irreducible	[15, 15]	11895
22m56s	47s	irreducible	[15, 15]	11895
4789p	4p	reducible	[26]	24
567p4s	4s	reducible	[26]	24
3344p	34p	irreducible	[9, 9]	7137
46m66s	5m	irreducible	[21]	20
1244p	3p	irreducible	[33]	29
888p7z	7z	reducible	[34]	30
8m567s	8m	reducible	[26]	24
12p33s	3p	irreducible	[33]	29
888p6z	6z	reducible	[34]	30
4446m	56m	irreducible	[21, 34]	23780
33m35p	4p	irreducible	[21]	20
88p33z	8p3z	irreducible	[9, 9]	7137
234p1s	1s	reducible	[26]	24
3455s	25s	irreducible	[15, 15, 26]	15066231
5699p	47p	irreducible	[15, 15]	11895
56m77p	47m	irreducible	[15, 15]	11895
88m35p	4p	irreducible	[21]	20
555p4z	4z	reducible	[34]	30
456m9s	9s	reducible	[26]	24
34p99s	25p	irreducible	[15, 15]	11895
4489s	7s	irreducible	[33]	29
666p5s	5s	reducible	[34]	30
123p6s	6s	reducible	[26]	24
5p123s	5p	reducible	[26]	24
222m7s	7s	reducible	[34]	30
2344p	14p	irreducible	[15, 15, 26]	15066231
2257p	6p	irreducible	[21]	20
8899m	89m	irreducible	[9, 9]	7137
5678p	58p	irreducible	[26, 26]	19032
222s6z	6z	reducible	[34]	30
3777p	3p	reducible	[34]	30
2279p	8p	irreducible	[21]	20
666p3s	3s	reducible	[34]	30
2227p	7p	reducible	[34]	30
456p3z	3z	reducible	[26]	24
8m444p	8m	reducible	[34]	30
11p78s	69s	irreducible	[15, 15]	11895
8m777z	8m	reducible	[34]	30
789m8s	8s	reducible	[26]	24
2245m	36m	irreducible	[15, 15]	11895
67m99p	58m	irreducible	[15, 15]	11895
444m1z	1z	reducible	[34]	30
88m11s	8m1s	irreducible	[9, 9]	7137
13p33s	2p	irreducible	[21]	20
222s5z	5z	reducible	[34]	30
4449p	9p	reducible	[34]	30
89m66p	7m	irreducible	[33]	29
11s55z	1s5z	irreducible	[9, 9]	7137
777m9s	9s	reducible	[34]	30
77p45s	36s	irreducible	[15, 15]	11895
5556s	467s	irreducible	[15, 15, 34]	18829815
1555p	1p	reducible	[34]	30
11m57p	6p	irreducible	[21]	20
666p2z	2z	reducible	[34]	30
7788s	78s	irreducible	[9, 9]	7137
8m678p	8m	reducible	[26]	24
11s66z	1s6z	irreducible	[9, 9]	7137
99m89p	7p	irreducible	[33]	29
8m666z	8m	reducible	[34]	30
7m789s	7m	reducible	[26]	24
57m55z	6m	irreducible	[21]	20
12p44z	3p	irreducible	[33]	29
88m68s	7s	irreducible	[21]	20
3336p	6p	reducible	[34]	30
88p34s	25s	irreducible	[15, 15]	11895
222s7z	7z	reducible	[34]	30
6p567s	6p	reducible	[26]	24
678s5z	5z	reducible	[26]	24
1266m	3m	irreducible	[33]	29
4456s	47s	irreducible	[15, 15, 26]	15066231
3444s	235s	irreducible	[15, 15, 34]	18829815
4777p	4p	reducible	[34]	30
555m4s	4s	reducible	[34]	30
345m8p	8p	reducible	[26]	24
11s77z	1s7z	irreducible	[9, 9]	7137
888p4z	4z	reducible	[34]	30
3m888p	3m	reducible	[34]	30
67p66s	58p	irreducible	[15, 15]	11895
78p11z	69p	irreducible	[15, 15]	11895
44p13s	2s	irreducible	[21]	20
789p7s	7s	reducible	[26]	24
34m33s	25m	irreducible	[15, 15]	11895
99p88s	9p8s	irreducible	[9, 9]	7137
2455m	3m	irreducible	[21]	20
88p56s	47s	irreducible	[15, 15]	11895
678s7z	7z	reducible	[26]	24
678s6z	6z	reducible	[26]	24
11m77s	1m7s	irreducible	[9, 9]	7137
555p6z	6z	reducible	[34]	30
555p7z	7z	reducible	[34]	30
7p777z	7p	reducible	[34]	30
46p33s	5p	irreducible	[21]	20
45p66s	36p	irreducible	[15, 15]	11895
6s222z	6s	reducible	[34]	30
22p44z	2p4z	irreducible	[9, 9]	7137
4577m	36m	irreducible	[15, 15]	11895
66s55z	6s5z	irreducible	[9, 9]	7137
2223z	3z	reducible	[34]	30
5s111z	5s	reducible	[34]	30
89s77z	7s	irreducible	[33]	29
8m555z	8m	reducible	[34]	30
68m33s	7m	irreducible	[21]	20
89s66z	7s	irreducible	[33]	29
9m789p	9m	reducible	[26]	24
2499m	3m	irreducible	[21]	20
444p7s	7s	reducible	[34]	30
2789p	2p	reducible	[26]	24
6p234s	6p	reducible	[26]	24
77m78s	69s	irreducible	[15, 15]	11895
555p5z	5z	reducible	[34]	30
13m22s	2m	irreducible	[21]	20
678m3p	3p	reducible	[26]	24
6679p	8p	irreducible	[21]	20
999p6s	6s	reducible	[34]	30
11p12s	3s	irreducible	[33]	29
2m222p	2m	reducible	[34]	30
7p666z	7p	reducible	[34]	30
11m12p	3p	irreducible	[33]	29
99s33z	9s3z	irreducible	[9, 9]	7137
2348m	8m	reducible	[26]	24
89s55z	7s	irreducible	[33]	29
8m333p	8m	reducible	[34]	30
4677s	5s	irreducible	[21]	20
1388m	2m	irreducible	[21]	20
55s33z	5s3z	irreducible	[9, 9]	7137
2399m	14m	irreducible	[15, 15]	11895
77p89s	7s	irreducible	[33]	29
11m57s	6s	irreducible	[21]	20
3337z	7z	reducible	[34]	30
3336z	6z	reducible	[34]	30
66m33s	6m3s	irreducible	[9, 9]	7137
4m999p	4m	reducible	[34]	30
2666s	2s	reducible	[34]	30
1144p	14p	irreducible	[9, 9]	7137
3336s	6s	reducible	[34]	30
234m7s	7s	reducible	[26]	24
66m88p	6m8p	irreducible	[9, 9]	7137
44p44z	4p4z	irreducible	[9, 9]	7137
3335z	5z	reducible	[34]	30
6m678p	6m	reducible	[26]	24
11m46p	5p	irreducible	[21]	20
33p46s	5s	irreducible	[21]	20
3457m	7m	reducible	[26]	24
11p23s	14s	irreducible	[15, 15]	11895
333s3z	3z	reducible	[34]	30
22m77p	2m7p	irreducible	[9, 9]	7137
55m79s	8s	irreducible	[21]	20
789p2z	2z	reducible	[26]	24
1344p	2p	irreducible	[21]	20
6m444p	6m	reducible	[34]	30
66m11s	6m1s	irreducible	[9, 9]	7137
13m88s	2m	irreducible	[21]	20
99m24s	3s	irreducible	[21]	20
6p444z	6p	reducible	[34]	30
1133p	13p	irreducible	[9, 9]	7137
77m23p	14p	irreducible	[15, 15]	11895
4447s	7s	reducible	[34]	30
12m55z	3m	irreducible	[33]	29
44p55z	4p5z	irreducible	[9, 9]	7137
6m333p	6m	reducible	[34]	30
12p99s	3p	irreducible	[33]	29
46m77p	5m	irreducible	[21]	20
77m34s	25s	irreducible	[15, 15]	11895
99p45s	36s	irreducible	[15, 15]	11895
12m77z	3m	irreducible	[33]	29
678p1z	1z	reducible	[26]	24
555s3z	3z	reducible	[34]	30
12m66z	3m	irreducible	[33]	29
88m11z	8m1z	irreducible	[9, 9]	7137
77m13p	2p	irreducible	[21]	20
1179s	8s	irreducible	[21]	20
345m5s	5s	reducible	[26]	24
345p9s	9s	reducible	[26]	24
666m2z	2z	reducible	[34]	30
66s44z	6s4z	irreducible	[9, 9]	7137
3459s	9s	reducible	[26]	24
6p888s	6p	reducible	[34]	30
3m999s	3m	reducible	[34]	30
666m7s	7s	reducible	[34]	30
1m555p	1m	reducible	[34]	30
8p345s	8p	reducible	[26]	24
3334z	4z	reducible	[34]	30
57m11s	6m	irreducible	[21]	20
22p55z	2p5z	irreducible	[9, 9]	7137
789p1s	1s	reducible	[26]	24
78p77s	69p	irreducible	[15, 15]	11895
2m333p	2m	reducible	[34]	30
222m2z	2z	reducible	[34]	30
8p111z	8p	reducible	[34]	30
9m555p	9m	reducible	[34]	30
4m123p	4m	reducible	[26]	24
44m22s	4m2s	irreducible	[9, 9]	7137
1366s	2s	irreducible	[21]	20
33m45s	36s	irreducible	[15, 15]	11895
11m66z	1m6z	irreducible	[9, 9]	7137
66p23s	14s	irreducible	[15, 15]	11895
89m77s	7m	irreducible	[33]	29
9m666s	9m	reducible	[34]	30
567m6p	6p	reducible	[26]	24
678s3z	3z	reducible	[26]	24
888m7z	7z	reducible	[34]	30
1155m	15m	irreducible	[9, 9]	7137
78s33z	69s	irreducible	[15, 15]	11895
456p5z	5z	reducible	[26]	24
555m1p	1p	reducible	[34]	30
55p99s	5p9s	irreducible	[9, 9]	7137
66p77z	6p7z	irreducible	[9, 9]	7137
89s44z	7s	irreducible	[33]	29
2678m	2m	reducible	[26]	24
777s5z	5z	reducible	[34]	30
456p7z	7z	reducible	[26]	24
1288m	3m	irreducible	[33]	29
4m888p	4m	reducible	[34]	30
888m6z	6z	reducible	[34]	30
99m23s	14s	irreducible	[15, 15]	11895
57p33s	6p	irreducible	[21]	20
45s55z	36s	irreducible	[15, 15]	11895
1168p	7p	irreducible	[21]	20
456p6z	6z	reducible	[26]	24
11m77z	1m7z	irreducible	[9, 9]	7137
66m57p	6p	irreducible	[21]	20
2p111s	2p	reducible	[34]	30
888p8s	8s	reducible	[34]	30
55m13s	2s	irreducible	[21]	20
11m55z	1m5z	irreducible	[9, 9]	7137
55m23p	14p	irreducible	[15, 15]	11895
5m222p	5m	reducible	[34]	30
444m6s	6s	reducible	[34]	30
555m1z	1z	reducible	[34]	30
4999m	4m	reducible	[34]	30
999p7s	7s	reducible	[34]	30
7779p	89p	irreducible	[21, 34]	23780
1m234p	1m	reducible	[26]	24
99m35p	4p	irreducible	[21]	20
1124m	3m	irreducible	[21]	20
5m456p	5m	reducible	[26]	24
99m35s	4s	irreducible	[21]	20
45s77z	36s	irreducible	[15, 15]	11895
9s111z	9s	reducible	[34]	30
555m6p	6p	reducible	[34]	30
78m77p	69m	irreducible	[15, 15]	11895
45s66z	36s	irreducible	[15, 15]	11895
123p2s	2s	reducible	[26]	24
67m55s	58m	irreducible	[15, 15]	11895
22p67s	58s	irreducible	[15, 15]	11895
24p44s	3p	irreducible	[21]	20
11p34s	25s	irreducible	[15, 15]	11895
2888s	2s	reducible	[34]	30
8m678s	8m	reducible	[26]	24
67m88p	58m	irreducible	[15, 15]	11895
24p11z	3p	irreducible	[21]	20
4567p	47p	irreducible	[26, 26]	19032
33p57s	6s	irreducible	[21]	20
11m77p	1m7p	irreducible	[9, 9]	7137
888m5z	5z	reducible	[34]	30
8m456p	8m	reducible	[26]	24
5m111p	5m	reducible	[34]	30
777s7z	7z	reducible	[34]	30
88p23s	14s	irreducible	[15, 15]	11895
777s6z	6z	reducible	[34]	30
999m5s	5s	reducible	[34]	30
6999p	6p	reducible	[34]	30
6678s	69s	irreducible	[15, 15, 26]	15066231
67s22z	58s	irreducible	[15, 15]	11895
46s11z	5s	irreducible	[21]	20
33p13s	2s	irreducible	[21]	20
57m66s	6m	irreducible	[21]	20
2257m	6m	irreducible	[21]	20
2235m	4m	irreducible	[21]	20
24m99s	3m	irreducible	[21]	20
44s44z	4s4z	irreducible	[9, 9]	7137
8999p	78p	irreducible	[33, 34]	23789
5578p	69p	irreducible	[15, 15]	11895
888m4z	4z	reducible	[34]	30
46p11z	5p	irreducible	[21]	20
789m4s	4s	reducible	[26]	24
456p4z	4z	reducible	[26]	24
66m46s	5s	irreducible	[21]	20
6m567p	6m	reducible	[26]	24
56s11z	47s	irreducible	[15, 15]	11895
678m1p	1p	reducible	[26]	24
678p7z	7z	reducible	[26]	24
4m678s	4m	reducible	[26]	24
333m3z	3z	reducible	[34]	30
5567s	58s	irreducible	[15, 15, 26]	15066231
2567m	2m	reducible	[26]	24
34p22z	25p	irreducible	[15, 15]	11895
8m555p	8m	reducible	[34]	30
34m77z	25m	irreducible	[15, 15]	11895
9m777s	9m	reducible	[34]	30
88m78s	69s	irreducible	[15, 15]	11895
5789p	5p	reducible	[26]	24
678m6s	6s	reducible	[26]	24
2345s	25s	irreducible	[26, 26]	19032
678p6z	6z	reducible	[26]	24
2p333z	2p	reducible	[34]	30
2s444z	2s	reducible	[34]	30
333m6s	6s	reducible	[34]	30
34m22p	25m	irreducible	[15, 15]	11895
1p111z	1p	reducible	[34]	30
89m22s	7m	irreducible	[33]	29
666s5z	5z	reducible	[34]	30
1456s	1s	reducible	[26]	24
22p44s	2p4s	irreducible	[9, 9]	7137
57m99s	6m	irreducible	[21]	20
678p5z	5z	reducible	[26]	24
2456p	2p	reducible	[26]	24
234m7p	7p	reducible	[26]	24
123m4p	4p	reducible	[26]	24
8889m	79m	irreducible	[33, 34]	23789
35s44z	4s	irreducible	[21]	20
234p1z	1z	reducible	[26]	24
68m33z	7m	irreducible	[21]	20
1188s	18s	irreducible	[9, 9]	7137
3455m	25m	irreducible	[15, 15, 26]	15066231
55p12s	3s	irreducible	[33]	29
666s4z	4z	reducible	[34]	30
22m11p	2m1p	irreducible	[9, 9]	7137
456p6s	6s	reducible	[26]	24
4m333z	4m	reducible	[34]	30
66p55z	6p5z	irreducible	[9, 9]	7137
5m999p	5m	reducible	[34]	30
2388m	14m	irreducible	[15, 15]	11895
66m99s	6m9s	irreducible	[9, 9]	7137
333p3s	3s	reducible	[34]	30
8p567s	8p	reducible	[26]	24
567s2z	2z	reducible	[26]	24
99m68s	7s	irreducible	[21]	20
2m999p	2m	reducible	[34]	30
78m66p	69m	irreducible	[15, 15]	11895
11p33s	1p3s	irreducible	[9, 9]	7137
5m777s	5m	reducible	[34]	30
34p33s	25p	irreducible	[15, 15]	11895
2255m	25m	irreducible	[9, 9]	7137
66p66z	6p6z	irreducible	[9, 9]	7137
777s4z	4z	reducible	[34]	30
234m1p	1p	reducible	[26]	24
9p666z	9p	reducible	[34]	30
66p44z	6p4z	irreducible	[9, 9]	7137
2345p	25p	irreducible	[26, 26]	19032
77p44z	7p4z	irreducible	[9, 9]	7137
35s55z	4s	irreducible	[21]	20
55m45p	36p	irreducible	[15, 15]	11895
9p777z	9p	reducible	[34]	30
3p777s	3p	reducible	[34]	30
24p33s	3p	irreducible	[21]	20
222m7p	7p	reducible	[34]	30
24m44z	3m	irreducible	[21]	20
678p1s	1s	reducible	[26]	24
4577p	36p	irreducible	[15, 15]	11895
55m22z	5m2z	irreducible	[9, 9]	7137
789p5s	5s	reducible	[26]	24
6778p	7p	irreducible	[21, 26]	19028
3339p	9p	reducible	[34]	30
55p78s	69s	irreducible	[15, 15]	11895
1m345s	1m	reducible	[26]	24
77p13s	2s	irreducible	[21]	20
2277m	27m	irreducible	[9, 9]	7137
4m555s	4m	reducible	[34]	30
56s22z	47s	irreducible	[15, 15]	11895
55m68s	7s	irreducible	[21]	20
67m66p	58m	irreducible	[15, 15]	11895
2277s	27s	irreducible	[9, 9]	7137
46p55s	5p	irreducible	[21]	20
666s6z	6z	reducible	[34]	30
666s7z	7z	reducible	[34]	30
456m9p	9p	reducible	[26]	24
3p333z	3p	reducible	[34]	30
88m89p	7p	irreducible	[33]	29
34s55z	25s	irreducible	[15, 15]	11895
3789m	3m	reducible	[26]	24
2355s	14s	irreducible	[15, 15]	11895
34p11z	25p	irreducible	[15, 15]	11895
345p6z	6z	reducible	[26]	24
111s1z	1z	reducible	[34]	30
345p7z	7z	reducible	[26]	24
24p77s	3p	irreducible	[21]	20
6699s	69s	irreducible	[9, 9]	7137
8999s	78s	irreducible	[33, 34]	23789
4p666s	4p	reducible	[34]	30
5558m	8m	reducible	[34]	30
89m11z	7m	irreducible	[33]	29
1m222s	1m	reducible	[34]	30
1456p	1p	reducible	[26]	24
4468p	7p	irreducible	[21]	20
45p11s	36p	irreducible	[15, 15]	11895
777p1s	1s	reducible	[34]	30
79p33z	8p	irreducible	[21]	20
23p11s	14p	irreducible	[15, 15]	11895
4m333s	4m	reducible	[34]	30
345m2s	2s	reducible	[26]	24
678m3z	3z	reducible	[26]	24
99m66p	9m6p	irreducible	[9, 9]	7137
89p99s	7p	irreducible	[33]	29
6669m	9m	reducible	[34]	30
999m4s	4s	reducible	[34]	30
999p5s	5s	reducible	[34]	30
33m68p	7p	irreducible	[21]	20
66p11s	6p1s	irreducible	[9, 9]	7137
66m78s	69s	irreducible	[15, 15]	11895
1113s	23s	irreducible	[21, 34]	23780
444m8p	8p	reducible	[34]	30
111m1p	1p	reducible	[34]	30
11p56s	47s	irreducible	[15, 15]	11895
3466p	25p	irreducible	[15, 15]	11895
567m8s	8s	reducible	[26]	24
3457p	7p	reducible	[26]	24
2466s	3s	irreducible	[21]	20
34s44z	25s	irreducible	[15, 15]	11895
79m44p	8m	irreducible	[21]	20
77m11s	7m1s	irreducible	[9, 9]	7137
44s66z	4s6z	irreducible	[9, 9]	7137
777m1s	1s	reducible	[34]	30
777p7s	7s	reducible	[34]	30
44s77z	4s7z	irreducible	[9, 9]	7137
78p33z	69p	irreducible	[15, 15]	11895
567m6s	6s	reducible	[26]	24
55m57s	6s	irreducible	[21]	20
99p33z	9p3z	irreducible	[9, 9]	7137
55m11s	5m1s	irreducible	[9, 9]	7137
7889p	8p	irreducible	[21, 26]	19028
44s55z	4s5z	irreducible	[9, 9]	7137
34p44s	25p	irreducible	[15, 15]	11895
34m66p	25m	irreducible	[15, 15]	11895
6p111s	6p	reducible	[34]	30
3m222p	3m	reducible	[34]	30
78m88p	69m	irreducible	[15, 15]	11895
35s66z	4s	irreducible	[21]	20
33p45s	36s	irreducible	[15, 15]	11895
1134m	25m	irreducible	[15, 15]	11895
2455s	3s	irreducible	[21]	20
79p66s	8p	irreducible	[21]	20
35s77z	4s	irreducible	[21]	20
5m123p	5m	reducible	[26]	24
1678m	1m	reducible	[26]	24
78p11s	69p	irreducible	[15, 15]	11895
6m444s	6m	reducible	[34]	30
23m33s	14m	irreducible	[15, 15]	11895
99m22z	9m2z	irreducible	[9, 9]	7137
35m22s	4m	irreducible	[21]	20
1m999p	1m	reducible	[34]	30
666p1z	1z	reducible	[34]	30
44m56s	47s	irreducible	[15, 15]	11895
2349m	9m	reducible	[26]	24
777m3p	3p	reducible	[34]	30
3599p	4p	irreducible	[21]	20
2p456s	2p	reducible	[26]	24
2229p	9p	reducible	[34]	30
2s555z	2s	reducible	[34]	30
2888p	2p	reducible	[34]	30
2m666p	2m	reducible	[34]	30
6m222z	6m	reducible	[34]	30
24p55s	3p	irreducible	[21]	20
23m88s	14m	irreducible	[15, 15]	11895
4499m	49m	irreducible	[9, 9]	7137
4m777s	4m	reducible	[34]	30
11m66p	1m6p	irreducible	[9, 9]	7137
5577m	57m	irreducible	[9, 9]	7137
555p7s	7s	reducible	[34]	30
3345p	36p	irreducible	[15, 15, 26]	15066231
33m79p	8p	irreducible	[21]	20
7778m	689m	irreducible	[15, 15, 34]	18829815
79m88s	8m	irreducible	[21]	20
1888p	1p	reducible	[34]	30
89m33s	7m	irreducible	[33]	29
89p33z	7p	irreducible	[33]	29
2m789s	2m	reducible	[26]	24
1777m	1m	reducible	[34]	30
1s333z	1s	reducible	[34]	30
2246p	5p	irreducible	[21]	20
5p789s	5p	reducible	[26]	24
12p33z	3p	irreducible	[33]	29
99m33p	9m3p	irreducible	[9, 9]	7137
2s777z	2s	reducible	[34]	30
22m11z	2m1z	irreducible	[9, 9]	7137
57m33z	6m	irreducible	[21]	20
9m222s	9m	reducible	[34]	30
6688p	68p	irreducible	[9, 9]	7137
3m567p	3m	reducible	[26]	24
55p55z	5p5z	irreducible	[9, 9]	7137
44p33s	4p3s	irreducible	[9, 9]	7137
33p89s	7s	irreducible	[33]	29
22m67p	58p	irreducible	[15, 15]	11895
22m77s	2m7s	irreducible	[9, 9]	7137
2s666z	2s	reducible	[34]	30
3488p	25p	irreducible	[15, 15]	11895
99p66s	9p6s	irreducible	[9, 9]	7137
68m99s	7m	irreducible	[21]	20
333p5s	5s	reducible	[34]	30
3337m	7m	reducible	[34]	30
56m33s	47m	irreducible	[15, 15]	11895
3389p	7p	irreducible	[33]	29
46p22z	5p	irreducible	[21]	20
6p456s	6p	reducible	[26]	24
345p1z	1z	reducible	[26]	24
44m11p	4m1p	irreducible	[9, 9]	7137
88m66s	8m6s	irreducible	[9, 9]	7137
88m33z	8m3z	irreducible	[9, 9]	7137
4m222z	4m	reducible	[34]	30
444m5s	5s	reducible	[34]	30
44m24s	3s	irreducible	[21]	20
35m66p	4m	irreducible	[21]	20
5566p	56p	irreducible	[9, 9]	7137
3566m	4m	irreducible	[21]	20
3477m	25m	irreducible	[15, 15]	11895
1999m	1m	reducible	[34]	30
99m77s	9m7s	irreducible	[9, 9]	7137
22s11z	2s1z	irreducible	[9, 9]	7137
7889s	8s	irreducible	[21, 26]	19028
777p3s	3s	reducible	[34]	30
23m22s	14m	irreducible	[15, 15]	11895
2m444p	2m	reducible	[34]	30
4m555p	4m	reducible	[34]	30
4p333z	4p	reducible	[34]	30
1145m	36m	irreducible	[15, 15]	11895
2m999s	2m	reducible	[34]	30
666p7z	7z	reducible	[34]	30
46s22z	5s	irreducible	[21]	20
666p6z	6z	reducible	[34]	30
55m11z	5m1z	irreducible	[9, 9]	7137
789p9s	9s	reducible	[26]	24
1157m	6m	irreducible	[21]	20
