# Thirteen-tile direct derivation wait report

generationWorkers: 16
classificationWorkers: 8
bucketCount: 256
generationReused: false

allThirteenTileShapes: 98521596000
enumeratedDerivations: 93251547
tenpaiReports: 54747045

## Reducibility

### Reducible
count: 54707433
waitCoreCacheHits: 59314756
waitCoreCacheMisses: 7282138
waitCoreCacheEntries: 7282138

### Irreducible
count: 39612

#### Groups by waitDecompositionCodes
groupCount: 708
waitDecompositionCodes	waitDecompositionCodesKey	count	representativeTiles	representativeWaits
[25857, 25857, 43095, 43095, 56355, 56355, 60333, 78897, 97682]	111447576954620572115058656	72	4445555667778m	4679m
[33813, 33813, 56355, 56355, 73695, 73695, 78897, 127738]	144235071749670631189262	48	3334444566777s	3568s
[32955, 32955, 43095, 43095, 46137, 60333, 74698, 94809]	140520182077532144432003	30	3333444556789p	2457p
[25857, 25857, 56355, 56355, 56355, 78897, 78897, 127738]	144235073299903526407712	12	2224555678999m	34569m
[32955, 32955, 46137, 57122, 57122, 72501]	218715381055496003	42	1223344566789p	369p
[25857, 25857, 43095, 43095, 56355, 56355, 56355, 60333, 97682]	111443275912251768813567968	42	3455566667888m	24578m
[32955, 32955, 43095, 43095, 43095, 46137, 74698, 94809]	140520175530749112976259	24	1234555566678s	34679s
[44217, 44217, 60333, 94809]	357128264461	174	11122233444m99s	3m9s
[43095, 43095]	521794	108	11123456777m34p	25p
[19773, 19773, 43095, 43095, 43095, 94809]	224002685303544893	222	11123456789m11s	147m1s
[32955, 32955, 32955, 46137, 72501, 74698]	219656921678399939	24	1234455667778m	3689m
[43095, 43095, 43095, 44217, 44217, 60333, 78897, 97682]	140716637560298316618946	18	4445556677788p	36789p
[33813, 33813, 72501, 73695, 73695]	276952154123150	174	78999m11122233p	69m3p
[43095, 43095, 78897, 94809, 97682]	283254972437314	24	4556678888999p	457p
[32955, 32955, 33813, 33813, 56355, 57122, 57122, 73695, 73695, 127738]	90472693986943882788716932739	30	3334444555566m	367m
[43095, 43095, 60333, 78897, 94809, 97682, 97682]	177675962610797876674	18	5666677889999s	4578s
[32955, 32955, 32955, 46137, 57122, 78897]	220896714534468035	18	2233344455677s	1467s
[19773, 19773, 19773, 19773, 43095, 43095, 44217, 44217, 56355, 56355, 60333, 60333, 97682]	43848485639730448254803173876328685821	24	4445556667788s	456789s
[25857, 25857, 25857, 56355, 56355, 123981]	229621701747094880	90	12333p11123444s	3p14s
[19773, 43095, 43095, 43095, 56355, 56355, 78897, 94809, 97682]	111449537067003256215657077	6	4445566667789m	34578m
[33813, 33813, 46137, 72501, 162129]	294656843611790	174	88m12222333444p	8m3p
[32955, 32955, 43095, 43095, 46137, 60333, 72501, 74698, 74698]	109124635726824856031884163	42	1112345567789s	23568s
[19773, 43095, 43095, 43095, 43095, 60333, 97682, 97682]	140719352396211576195701	6	2345556777789s	145689s
[32955, 56355, 56355, 57122, 127738]	290320348073027	24	4444555566667s	378s
[32955, 32955, 33813, 33813, 43095, 43095, 46137, 46137, 74698, 74698]	86426704453602483228581715587	18	1233334445566m	124567m
[19773, 19773, 43095, 60333]	341213258813	30	2333444555566s	236s
[33813, 33813, 43095, 43095, 46137]	261978286685390	18	2233444456666s	12357s
[25857, 25857, 56355, 56355]	339738582560	486	66m45666678999s	6m39s
[25857, 56355, 56355, 56355, 56355, 78897, 78897, 127738, 127738]	114239846641168735586481704	12	3334555567999m	234678m
[32955, 32955, 33813, 33813, 162129]	294625528708739	174	12333m22333444p	3m25p
[25857, 56355, 56355, 78897, 78897, 127738]	229943171136719912	12	1113444555567s	2348s
[43095, 43095, 43095, 46137, 60333, 74698]	219651019790959810	54	1123344556666p	1247p
[19773, 43095, 60333, 74698]	350173158773	60	5666777889999p	6p
[43095, 43095, 44217, 44217, 46137, 74698, 74698]	173969216843484353410	24	2233344455777p	256p
[32955, 32955, 32955, 46137, 60333, 74698]	219651019776514499	30	2233445555667m	1467m
[33813, 33813, 46137, 103173]	360592625294	354	44455666p67778s	5p7s
[19773, 43095, 43095, 43095, 43095, 78897, 97682]	177672511153718053493	24	1112222334567s	13458s
[43095, 43095, 43095, 60333, 78897, 97682]	224333992639648450	30	3445566667777m	2458m
[56355, 56355, 56355, 78897, 127738]	290332271107187	60	3334567777999s	2458s
[32955, 32955, 43095, 43095, 46137, 60333, 60333, 74698]	137779183824939646219139	30	3444556678999s	2457s
[33813, 33813, 46137, 72501, 103173]	285607260720782	174	11122223334p11s	3p1s
[25857, 43095, 43095, 56355, 60333, 94809, 97682]	177675638387216912528	12	1111223344555m	346m
[25857, 56355, 56355, 56355, 78897, 127738]	229943158716892712	12	5555677778999m	4689m
[25857, 46137, 56355]	428948600	24	1123333445555p	126p
[19773, 19773, 43095, 43095, 43095, 43095, 44217, 44217, 60333, 60333, 78897, 97682]	55366385905863722939375946038926397	15	5556677788999s	56789s
[60333]	686	150	3333555667788m	4m
[32955, 32955, 32955, 33813, 33813, 46137, 74698, 74698, 94809]	111291988647858280374134723	6	1122333456777s	123568s
