# Thirteen-tile direct derivation wait report

generationWorkers: 16
classificationWorkers: 8
bucketCount: 256
generationReused: false

allThirteenTileShapes: 98521596000
enumeratedDerivations: 93251547
tenpaiReports: 54747045

## Reducibility

### Reducible
count: 54707433
waitCoreCacheHits: 59314756
waitCoreCacheMisses: 7282138
waitCoreCacheEntries: 7282138

### Irreducible
count: 39612

#### Groups by waitDecompositionCodes
groupCount: 708
waitDecompositionCodes	waitDecompositionCodesKey	count	representativeTiles	representativeWaits
[43095, 43095, 46137, 72501, 74698, 74698, 94809]	177424479420287548546	6	1222234456789m	1347m
[19773, 43095, 43095, 43095, 56355, 56355, 60333, 60333, 78897, 97682]	88266480948799913068514728565	24	4445666778888s	45679s
[32955, 32955, 46137, 46137, 72501, 74698]	219656921697217859	6	1222334455567s	136s
[25857, 25857, 43095, 43095, 56355, 56355, 60333, 97682, 123981]	114081511904316021370175456	12	1222233345666s	1346s
[32955, 32955, 32955, 46137, 46137, 74698, 94809]	177424464057439259075	12	1233444556677s	2358s
[19773, 43095, 43095, 43095, 56355, 56355, 60333, 78897, 97682]	111447576954620572115098229	24	5667778888999s	45679s
[43095, 43095, 43095, 56355, 56355, 60333, 78897, 97682]	140716637568965368832194	12	3455666677999p	24578p
[25857, 25857, 32955, 32955, 78897]	278885631398432	12	1122223334567s	1358s
[56355, 56355, 60333, 60333, 97682, 97682]	224338320718614323	18	2224556677999s	3478s
[32955, 32955, 32955, 43095, 43095, 46137, 72501, 74698, 74698, 74698]	86426712085752149109672861635	24	1223344567888s	134679s
[19773, 43095, 43095, 43095, 43095, 43095, 97682, 97682, 123981]	114081520041026959769291381	6	1222233456777m	1345678m
[43095, 43095, 60333, 78897, 97682, 123981]	229635878780413378	6	1111223334444s	235s
[33813, 33813, 43095, 43095, 46137, 73695, 73695, 74698, 74698, 103173, 103173, 167042]	57675310626856236293014759800437966	24	1113444555666m	23456m
[25857, 25857, 56355, 56355, 57122, 78897]	220896723506830880	12	4566777788899m	4589m
[43095, 43095, 56355, 56355, 94809, 97682]	224337925766207746	6	4555566789999m	3467m
[32955, 32955, 33813, 33813, 46137, 57122, 57122, 103173]	141883523282781353332355	30	3444555566677m	47m
[43095, 43095, 56355, 56355, 60333, 94809, 97682, 97682]	140719362379094320863490	18	1222234455556p	13467p
[32955, 32955, 33813, 33813, 46137, 46137, 60333, 74698, 74698, 162129]	91821561297677093209484054147	6	4445566677789p	56789p
[19773, 33813, 33813, 43095, 103173]	285585881681813	30	4455556667888s	468s
[19773, 19773, 43095, 43095, 43095, 56355, 56355, 60333, 60333, 97682, 97682]	69908401623753437898248613256253	24	3334445566778s	345689s
[32955, 32955, 32955, 46137, 60333, 74698, 74698, 94809]	140520187694965822118339	18	4555566777889p	34679p
[32955, 32955, 33813, 33813, 46137, 57122, 73695, 73695, 78897, 127738]	90473468045985703340439031427	30	3345555666777s	346s
[43095, 43095, 43095, 94809, 97682]	283254941074114	24	1234445555678m	3689m
[19773, 19773, 43095, 43095, 43095, 43095, 43095, 94809, 94809, 97682, 97682]	69908406583950101097399121239101	6	1112345666789m	1234567m
[46137, 57122, 57122, 57122, 72501]	276155784176057	12	1223334456789s	369s
[43095, 43095, 56355, 56355, 60333, 94809, 97682]	177675638387232594178	12	3455678888999s	2457s
[19773, 19773, 43095, 43095]	327303052349	18	1122333344456s	147s
[25857, 25857, 56355, 56355, 56355, 78897, 127738]	182114981703779028512	24	1112223456666s	12347s
[25857, 43095, 43095, 56355, 97682]	283237553315984	6	4455556777789m	346m
[43095, 43095, 56355, 56355, 60333, 97682]	224325335042185474	18	3455677778888m	2569m
[25857, 25857, 56355, 56355, 56355, 56355, 56355, 123981, 127738]	114239644995023068599258656	12	1112345555666p	123467p
[19773, 43095, 43095, 43095, 43095, 78897, 94809, 97682, 97682]	111449735011088502431042165	12	4445677889999s	345678s
[25857, 25857, 32955, 32955, 78897, 123981]	229631514421105184	6	1111222333456p	2347p
[19773, 43095, 43095, 43095, 56355, 56355, 78897, 97682]	140716636634091690351221	24	2223455666677s	24578s
[43095, 43095, 43095, 56355, 56355, 60333, 97682]	177665665353410896066	12	2222344555678m	13469m
[25857, 25857, 32955, 32955, 46137, 78897, 78897]	174957676801367892512	18	2333445556777s	1345s
[56355, 56355, 56355, 78897]	352158469235	12	2224444555678p	369p
[43095, 43095, 43095, 46137, 74698, 74698]	219658102073222338	48	2344455667999s	1478s
[32955, 32955, 32955, 43095, 43095, 44217, 44217, 46137, 60333, 74698, 74698]	68449953178282188836848478674883	18	3344455566777p	23568p
[56355, 56355, 56355, 78897, 78897, 127738, 127738]	182124028544869043315	12	2223455556888m	13467m
[32955, 32955, 33813, 33813, 33813, 43095, 43095, 72501, 73695, 73695, 73695, 73695, 74698, 74698, 103173, 167042]	22692933955711825550687710951610634903326105219	6	1112223334555s	123456s
[19773, 43095, 43095, 74698, 94809]	282854525845109	12	2344445677789p	17p
[32955, 32955, 43095, 43095, 46137, 60333, 72501, 74698]	137782885875523914855299	36	1233455666789s	2457s
[19773, 19773, 43095, 43095, 43095, 74698, 74698]	173969214087771151421	18	2223455566778p	258p
[19773, 43095, 56355, 56355, 60333, 60333, 97682]	177665666533806954677	6	1233334445567p	4568p
[33813, 33813, 43095, 43095, 46137, 74698, 74698]	173969216841992076494	6	2233444567999m	123478m
[19773, 33813, 33813, 43095, 73695, 73695, 74698, 103173]	141888465285976436961173	30	4445556667777s	4568s
[25857, 25857, 43095, 43095, 44217, 44217, 56355, 56355, 60333, 97682, 97682]	69908401623167026231231611559904	24	2223344555666s	23457s
[25857, 25857, 32955, 57122, 78897, 123981]	229631538763966496	6	4555666677789s	3579s
[78897, 123981]	583620	12	1111222234444m	3m
[32955, 32955, 32955, 43095, 43095, 46137, 60333, 60333, 74698]	109121113589352199805558723	12	1112333445567s	23568s
[56355, 56355, 56355, 60333, 60333, 97682]	224325336532584563	15	1113345555678p	23469p
[43095, 43095, 60333, 60333, 97682, 97682, 97682]	177675962993328554434	6	1234566667999s	14578s
[32955, 32955, 33813, 33813, 57122, 57122, 72501, 162129]	146383489177121765260931	6	1233344455566m	36m
[43095, 43095, 46137, 60333, 74698, 94809]	224020798383985282	24	4456677889999m	457m
[56355, 73695, 73695, 78897, 127738]	290332283668307	24	1113344445555p	236p
[32955, 32955, 32955, 43095, 43095, 46137, 60333, 74698]	137779177278156600336323	42	2233444555566m	13467m
[33813, 33813, 46137, 60333, 72501, 74698]	219656932129875086	6	1122233456777m	123m
[19773, 19773, 19773, 19773, 43095, 43095]	205305421829103869	12	3455566778899m	25689m
[32955, 32955, 32955, 43095, 43095, 43095, 74698, 74698]	137783617557514785841091	12	2333344556677m	124578m
[25857, 25857, 56355, 56355, 56355, 60333, 97682]	177665665353426538016	60	2234444567888p	2358p
[25857, 25857, 32955, 32955, 46137, 56355, 56355, 57122, 78897]	109739965400063143008330272	18	2344566677888m	35678m
[25857, 25857, 32955, 32955, 46137, 56355, 56355, 57122, 57122]	106024504507758052140704288	6	2344455666789p	134569p
[19773, 19773, 43095, 43095, 43095, 74698, 94809]	177424461299755211837	12	1112345677789p	147p
[78897, 78897, 123981, 127738]	366598733604	12	4446788889999p	567p
[19773, 43095, 74698, 94809]	357139552757	12	1233345566667p	3p
[25857, 25857, 32955, 32955]	315862405664	12	2345677778899m	1489m
[32955, 32955, 32955, 43095, 43095, 60333, 72501, 74698]	137782885872769679548355	12	1122223345678m	13469m
[43095, 43095, 44217, 44217, 60333, 78897, 94809, 97682]	140719112459506897527682	12	1122233444555p	1236p
[25857, 25857, 46137, 72501, 78897, 78897]	220906175480832416	6	4445666778889m	678m
[25857, 25857, 32955, 32955, 46137, 123981]	229614595635700256	12	3455556677789p	2678p
[19773, 19773, 43095, 43095, 60333, 78897]	220897497991552061	24	2223344455677m	2567m
[25857, 25857, 44217, 44217, 56355, 56355, 60333, 97682, 97682]	111449727105599916831201440	24	4445566777999m	45678m
[78897]	708	24	3334566668888m	7m
[43095, 43095, 60333, 97682, 123981]	289944277567426	12	4444555567789p	367p
[25857, 32955, 32955, 46137, 57122, 57122]	213417824465238440	6	5566677778899m	569m
[60333, 97682, 123981]	462236438	12	1233456666888m	37m
[25857, 25857, 32955, 32955, 72501]	276131410518560	18	2233444456789p	1237p
[25857, 25857, 56355, 56355, 60333, 97682, 97682]	177675950007652105760	24	1112344567999p	1478p
[56355, 56355, 56355, 60333, 94809, 97682]	224337927256606835	6	3456666788999m	2578m
[43095, 43095, 60333, 60333, 78897, 94809, 97682, 97682]	140719362387751935889858	12	3334556678999p	4578p
[19773, 19773, 43095, 43095, 94809, 94809]	224026292911086653	30	12333p12345666s	3p36s
[25857, 25857, 32955, 32955, 46137, 56355, 56355]	168779801983764718112	30	2344455666678m	13459m
[43095, 43095, 60333, 94809]	357128262082	18	3455678889999m	47m
[33813, 33813, 33813, 33813, 73695, 73695, 73695, 73695, 103173, 103173, 167042]	72822361902400542871490612279246	15	4445556777888m	45678m
[33813, 33813, 46137, 74698, 94809]	282854530220174	6	1122333567888p	1234p
[19773, 43095, 43095, 43095, 43095, 97682, 123981]	181871596307170904693	6	1222233444567p	13458p
[33813, 33813, 43095, 43095, 46137, 73695, 73695, 74698, 74698, 103173, 167042]	72822358651567730360443950726350	18	4555666777999p	345678p
[25857, 25857, 56355, 56355, 56355, 73695, 73695, 78897, 127738]	114234176825739139930099232	24	2223334455556p	23467p
[32955, 32955, 32955, 33813, 33813, 33813, 60333, 73695, 73695, 74698, 74698]	68449955817500944754389427840963	18	2233344456777p	2345678p
[33813, 33813, 43095, 46137, 73695, 73695, 103173, 103173]	141893648156797903148750	24	3334445555777m	2346m
[32955, 32955, 33813, 33813, 43095, 46137, 103173]	179139931699436379779	48	4444555666677p	3578p
[33813, 33813, 46137, 73695, 73695, 103173, 103173]	179158646662623599246	6	5557777888999m	689m
[32955, 32955, 32955, 43095, 43095, 72501, 74698, 74698, 74698]	109124636471906524943572931	24	1112334455678m	235689m
[43095, 43095, 46137, 74698, 74698, 94809]	224020807326260866	42	2344567789999m	1478m
[43095, 43095, 43095, 60333, 60333, 78897, 97682, 97682]	140719359262891600048834	24	2223455667888m	13467m
[32955, 32955, 33813, 33813, 33813, 43095, 46137, 73695, 73695, 73695, 73695, 103173]	55827356278955742929116859514822275	24	2223334444555m	12356m
[25857, 56355, 56355, 103173, 127738]	290340716589608	30	3333445555666m	246m
[19773, 19773, 19773, 19773, 60333, 94809, 97682]	177675638336495657213	6	1222333445566m	12356m
[19773, 43095, 43095, 43095, 43095, 60333, 60333, 97682, 97682, 123981]	90352563879412571932994390645	6	3334555567789m	234678m
[19773, 19773, 33813, 33813, 43095, 43095, 43095, 74698]	137772264602379761334077	18	3334567788999m	36789m
[19773, 43095, 43095, 43095, 60333, 78897, 97682, 123981]	144042319867317217659509	6	1223334444555m	1235m
[32955, 32955, 32955, 43095, 43095, 60333, 72501, 74698, 74698]	109124635726822101796577219	12	2344555566789m	134679m
[32955, 32955, 32955, 33813, 33813, 46137, 74698, 94809]	140520175522869960173507	6	3456667778899m	25789m
[25857, 25857, 43095, 43095, 43095, 56355, 56355, 60333, 97682, 97682]	88268183867635132948472147936	6	2223456678999p	134679p
[32955, 32955, 32955, 57122, 57122, 57122]	213417833904307139	36	2233445667788m	258m
[25857, 25857, 32955, 46137, 78897]	278900535191072	24	1233444555566m	246m
[32955, 32955, 43095, 43095, 46137, 60333]	214033586098828163	12	2233344556667p	1458p
[32955, 32955, 43095, 43095, 46137]	261978286683011	18	4556666778888p	3479p
[56355, 56355, 60333, 97682]	357625074995	12	2344567777999s	148s
[32955, 32955, 43095, 43095, 46137, 46137, 60333, 72501, 74698, 74698]	86426711495645288731487564675	6	3455666677889p	24578p
[32955, 32955, 33813, 33813, 57122, 57122, 57122]	169026924453703515779	18	1234455566677m	147m
[60333, 94809, 97682, 97682]	357645802430	12	1111222234567m	347m
[25857, 25857, 56355, 56355, 56355, 78897, 103173, 127738]	144239268957232364195360	30	4445667777888m	4568m
[25857, 25857, 32955, 56355, 56355, 56355, 57122, 78897, 127738]	114234172130242658102026784	12	2223334444567m	123578m
[60333, 78897, 94809, 97682]	357645167246	12	1223444456777p	23p
[60333, 94809]	569342	90	55567888m12234p	3p
[19773, 19773, 19773, 43095, 43095, 43095, 74698, 74698]	137783617557514751926013	18	1112344556677p	147p
[43095, 43095, 46137, 72501, 74698, 74698, 74698]	173969232208303488130	12	3445566788889m	3679m
[25857, 25857, 56355, 56355, 56355, 56355, 78897, 78897, 127738, 127738]	90477958539805638584493510176	18	1112223444456s	123567s
[60333, 94809, 97682]	451572158	6	1112444556677m	23m
[25857, 56355, 56355, 73695, 73695, 127738]	229941201352125992	24	3333444455666p	2567p
[32955, 32955, 60333, 60333, 72501, 74698, 74698]	173969231020484369027	6	4556677889999p	4578p
[19773, 19773, 43095, 60333, 94809]	282845583508541	6	1233344555566p	236p
[25857, 25857, 56355, 56355, 56355, 60333, 94809, 97682]	140719105602688230231584	6	1112234567888p	2358p
[43095, 43095, 60333, 97682]	357625055170	12	2233445557888p	679p
[19773, 19773, 43095, 43095, 56355, 56355, 60333, 60333, 78897, 97682]	88266480948799913068514667581	18	3334445567789p	34568p
[25857, 25857, 56355, 56355, 78897, 127738]	229943158716833312	18	1112344445556m	1567m
[25857, 25857, 32955, 32955, 57122]	269442588381728	18	4455666677889m	3459m
[32955, 32955, 32955, 43095, 43095, 46137, 74698, 74698, 94809]	111291988647866159512510403	24	3334556677789m	24578m
[32955, 32955, 33813, 33813, 46137, 60333, 74698]	173963607664491744899	12	2233344567888s	1234s
[43095, 43095, 56355, 56355, 60333, 97682, 123981]	181871607336489933058	24	2224455556789p	3467p
[25857, 43095, 43095, 60333]	341213319824	24	4455556677788m	689m
[32955, 32955, 32955, 46137, 46137, 60333, 74698]	173963607677903276483	6	1233456778999m	2578m
[32955, 32955, 46137, 46137, 60333, 74698, 74698, 94809]	140520187694965840936259	12	1111223334456p	2356p
[25857, 25857, 32955, 32955, 57122, 57122, 72501]	173222581781049020960	24	1122333456678s	12369s
[43095, 43095, 60333, 60333, 97682, 97682]	224338320718594498	6	1112346777789s	5689s
[32955, 32955, 43095, 43095, 46137, 46137, 74698, 74698, 94809]	111291988647868913747817347	18	1233444456678m	23569m
[19773, 19773, 19773, 19773, 43095, 43095, 60333, 97682]	140711199159516136333565	18	2333444556677s	123467s
[25857, 25857, 46137, 56355, 56355, 57122, 57122, 72501, 78897]	109743288607789681387423136	6	1233455566677p	23567p
[32955, 32955, 33813, 33813, 43095, 43095, 46137, 60333, 73695, 73695, 74698]	68449833203963361451410887696003	12	2223334455567s	134568s
[25857, 56355, 56355, 60333, 97682]	283239059396648	24	2344445555677m	167m
[46137, 60333, 74698, 74698, 94809]	282854554721513	12	2224566777889m	347m
[19773, 19773, 43095, 43095, 56355, 56355, 56355, 60333, 60333, 97682]	88263075108908223285032283197	6	1112223345678m	123469m
[25857, 25857, 32955, 46137, 56355, 56355]	213105810585540128	6	3455566777789s	2456s
[46137, 60333, 74698, 74698, 74698]	277346112961769	6	1113455667789s	2369s
[25857, 25857, 32955, 46137, 56355, 56355, 123981]	181860387812033287712	12	4566677788889m	3567m
[25857, 32955, 32955, 46137, 56355, 57122, 57122]	169026924073654921640	24	5566777788899p	4589p
[43095, 56355, 56355, 60333, 97682, 123981]	229635867849103450	12	5677788889999p	467p
[33813, 33813, 33813, 43095, 43095, 46137, 60333, 73695, 73695, 74698]	86426557075711314963902635982	24	3334455567888m	34568m
[19773, 33813, 33813, 43095, 74698]	277323219042197	6	1233334455666s	456s
[25857, 56355, 73695, 73695, 127738]	290329799686952	6	1112233334444s	125s
[43095, 43095, 43095, 56355, 56355, 60333, 60333, 97682, 97682]	111449727106534789017460930	18	3334455667999m	24578m
[43095, 43095, 56355, 56355, 60333, 97682, 97682]	177675950007652145410	18	3455666677778m	24589m
[19773, 43095, 43095, 43095, 43095, 60333, 78897, 97682, 97682]	111449732536199130355157621	24	4556677778999m	345689m
[25857, 32955, 56355, 56355, 57122, 78897, 127738]	182114982097239175592	18	2333344445556s	1567s
[56355, 56355, 78897, 78897, 78897, 127738, 127738]	182124028544884724915	12	1113444456888m	23567m
[32955, 32955, 46137, 60333, 74698]	277337146182467	12	1122334445667p	568p
[32955, 32955, 43095, 43095, 43095, 60333, 72501, 74698]	137782885872769693975427	6	1122223344556p	13467p
[32955, 32955, 32955, 43095, 43095, 72501, 74698, 74698]	137783630957192826544067	12	1122334555678p	13469p
[19773, 43095, 43095, 43095, 43095, 43095, 60333, 97682, 97682, 97682]	88268190318820690584508779125	6	1233334567888m	12456789m
[25857, 25857, 56355, 56355, 73695, 73695, 78897, 78897, 127738]	114234178059763870555491872	24	3334445567777m	34568m
[56355, 56355, 60333, 60333, 78897, 97682]	224333992657231667	12	2224456678999m	3457m
[25857, 25857, 32955, 32955, 32955, 57122, 72501]	173222562501502861856	6	1112233456789p	12347p
[25857, 25857, 56355, 56355, 56355, 56355, 56355, 78897, 127738, 127738]	90477958533635554277379116576	12	2223455556777p	1234678p
[19773, 43095, 43095, 43095, 43095, 60333, 60333, 78897, 97682]	111447576955545596870609525	12	2223445666678m	23459m
[19773, 43095, 43095, 43095, 60333, 60333, 78897, 94809, 97682, 97682]	88268190128790830314016410229	6	4445667788889p	45679p
[60333, 60333, 97682, 97682, 123981]	289944298289342	6	1111233456888s	2367s
[43095, 43095, 56355, 56355, 97682, 123981]	229635866358704386	6	1222233344445s	1356s
[25857, 25857, 56355, 56355, 56355, 56355, 56355]	168779809089923157536	12	2223333444567p	12458p
[19773, 19773, 43095, 94809]	357110637629	12	1234455666677s	347s
[19773, 33813, 33813, 43095, 43095, 74698]	219639999417327509	18	2344445566777m	1567m
[25857, 25857, 56355, 56355, 56355, 56355, 78897, 127738]	144235065509393037626912	12	2223444555567s	12348s
[32955, 32955, 33813, 33813, 43095, 43095, 46137, 74698, 74698]	109124626833175317870435971	12	2233444566667s	1234578s
[72501, 74698, 103173]	455324669	6	3344455568999s	78s
[33813, 33813, 43095, 46137, 72501, 103173]	226200950503405262	6	6666777888899p	579p
[25857, 43095, 43095, 43095, 56355, 60333, 97682]	177665665340991068816	18	2222334455666s	1457s
[32955, 32955, 32955, 46137, 46137, 57122]	213410348722850243	33	1233445566788s	258s
[43095, 43095, 46137, 74698]	350159986306	6	2344666778899p	145p
[32955, 32955, 43095, 43095, 43095, 72501, 74698, 74698]	137783630957192840971139	6	4555566778899m	34679m
[32955, 32955, 33813, 33813, 43095, 46137]	207486793118965379	12	5566777788889p	4569p
[25857, 25857, 56355, 56355, 60333, 97682, 123981]	181871607336489893408	12	4445555677789m	467m
[32955, 32955, 33813, 33813, 46137, 60333, 103173]	179146478482467835523	24	1123334444555m	1236m
[25857, 25857, 56355, 56355, 56355, 78897, 78897, 127738, 127738]	114239846641168735586422304	36	2223334566667p	234578p
[32955, 32955, 32955, 46137, 60333, 74698, 94809]	177424472320101898691	12	1223334444567m	2358m
[25857, 25857, 25857, 25857, 32955, 32955, 32955, 57122]	133857215531495381148512	18	1112233445566p	1234567p
[25857, 25857, 46137, 78897]	352147119008	12	1123334567888p	123p
[25857, 25857, 46137, 56355, 56355, 57122, 57122, 57122, 123981]	114074670021541181205169568	12	1234566677788s	134678s
[32955, 32955, 33813, 33813, 46137, 60333, 72501, 74698, 74698, 162129]	91821561301385687822563266179	6	1222233344455m	13456m
[19773, 19773, 19773, 43095, 43095, 43095, 60333, 94809, 97682]	111449531629528718914707197	6	1112333445566m	123467m
[25857, 25857, 32955, 56355, 56355, 56355]	213105819527815712	6	2233344445678p	12369p
[25857, 25857, 43095, 43095, 43095, 56355, 56355, 60333, 97682]	111443275912241932310425568	6	1112344555678m	13469m
[43095, 43095, 43095, 94809]	357110698690	12	1111222345678p	369p
[43095, 43095, 56355, 56355, 56355, 60333, 97682]	177665665353426577666	30	2333344456666p	12457p
[32955, 32955, 33813, 33813, 33813, 60333, 72501, 73695, 73695, 74698, 74698]	68449955817504661762753836818051	6	4455566678999p	456789p
[32955, 32955, 32955, 33813, 33813, 46137, 60333, 73695, 73695, 74698, 74698]	68449955817500953168140755724227	18	2233344455556p	123467p
[33813, 33813, 46137, 60333, 72501, 103173]	226200960940450958	6	1112222333455s	345s
[32955, 32955, 33813, 33813, 43095, 43095, 43095, 46137, 74698]	109117001842988585902825091	6	2223334455678s	134569s
[19773, 19773, 43095, 43095, 43095, 43095, 43095, 60333, 97682]	111443269734367114707229757	6	2223444567789p	123458p
[43095, 43095, 56355, 56355, 60333, 78897, 97682]	177672522183037081858	36	2223345567888p	1346p
[25857, 25857, 32955, 32955, 32955, 57122, 57122]	169026905172665074208	18	2233445556677p	25678p
[43095, 43095, 46137, 74698, 74698, 74698]	219658121452543618	24	1113456677889s	2369s
[32955, 32955, 32955, 33813, 33813, 46137, 60333, 74698]	137779177270277461960643	12	1112233344567s	23458s
[43095, 43095, 56355, 56355, 56355, 97682]	224324154661808386	9	2333344455556m	12467m
[32955, 32955, 57122, 57122, 57122, 72501]	218715381067414019	24	1122334567789s	147s
[43095, 43095, 43095, 60333, 97682, 97682, 123981]	181871620322148778690	24	1111233456777m	23568m
[25857, 25857, 56355, 56355, 78897, 123981]	229631538297282080	6	1111222345666m	236m
[25857, 25857, 32955, 32955, 56355, 56355, 57122, 57122, 72501, 78897, 78897, 127738, 162129]	45618855369210228699067022190240072224	6	1233444555666s	23456s
[33813, 33813, 43095, 43095, 46137, 60333, 74698, 162129]	146384230203013664111822	6	1233344555777m	23456m
[32955, 32955, 33813, 33813, 33813, 43095, 46137, 73695, 73695]	108969620494383887164448387	24	2233344445666m	12356m
[43095, 43095, 60333, 78897, 97682]	283249990706626	24	1112344445667m	568m
[19773, 43095, 43095, 43095, 56355, 56355, 97682, 123981]	144042312075626348501621	6	1234555566777p	34678p
[19773, 43095, 43095, 60333, 74698]	277337141809781	24	1123444456678p	17p
[33813, 33813, 46137, 60333, 73695, 73695, 74698, 74698]	137783631598153300329614	18	1122233345777p	12356p
[32955, 32955, 46137, 60333, 94809]	282845587942211	6	1222334455566m	347m
[25857, 25857, 56355, 56355, 56355, 78897]	220896330046705184	18	1112345556666p	1457p
[32955, 32955, 32955, 43095, 43095, 46137, 46137, 74698, 74698, 74698]	86426712076867227707428134851	12	2344445566778s	235689s
[43095, 43095, 60333, 60333, 97682, 123981]	229635867850965442	6	1233444456666p	235p
[25857, 25857, 43095, 43095, 56355, 56355, 60333, 60333, 97682, 97682]	88268183868375552901829017568	18	3455556678999s	34679s
[19773, 19773, 43095, 43095, 43095, 60333, 78897, 97682, 97682]	111449732536199130355096637	18	3334445677889m	345689m
[25857, 56355, 56355, 56355, 57122, 78897, 127738]	182114982097239213608	12	1233334444555p	1256p
[43095, 43095, 60333, 60333, 60333, 97682, 97682, 123981]	144042323295155760492994	6	2224566667789p	34578p
[43095, 43095, 94809, 97682, 97682, 97682]	224338337132838850	6	1234555566667s	13478s
[32955, 32955, 43095, 43095, 46137, 60333, 74698, 74698]	137783626285640768582531	6	1233455677778s	25689s
[32955, 32955, 33813, 33813, 57122, 72501, 73695, 73695, 127738]	114233199483762023247281795	6	1112223334566m	36m
[25857, 25857, 33813, 33813, 56355, 56355, 72501, 73695, 73695, 78897, 78897, 127738]	56750750073451946246585308386040544	6	1112223345666p	12346p
[32955, 32955, 32955, 46137, 46137, 60333, 74698, 74698, 74698]	109124636467234976348735939	12	2344556677778m	235689m
[25857, 56355, 56355, 56355, 78897, 78897, 127738, 127738]	144242230607536282306088	6	1112333345777m	12456m
[19773, 19773, 123981]	462127037	6	4455566678899p	789p
[25857, 25857, 25857, 56355, 56355, 56355, 78897, 123981, 127738]	114239651165107375666607456	6	1112333456777p	12347p
[32955, 32955, 32955, 46137, 60333]	270244412447171	6	1123344455678s	2369s
[19773, 19773, 43095, 43095, 43095, 43095, 43095, 43095, 94809, 94809, 97682, 97682, 97682]	43851026844591450748275580066667060285	3	1112345678999s	123456789s
[25857, 32955, 56355, 57122]	340235397032	24	4455556666778p	489p
[32955, 32955, 46137, 46137, 60333, 74698, 74698, 74698]	137783631903074465086787	6	1112334456789p	23569p
[32955, 32955, 43095, 43095, 43095, 46137, 46137, 72501, 74698, 74698]	86426711490462415159290594179	6	3455667788999p	24578p
[56355, 56355, 123981]	462207923	12	1112222345555p	36p
[25857, 25857, 32955, 32955, 46137, 56355, 56355, 56355, 57122]	106024309039487202756715040	6	1112233345678p	123469p
[32955, 32955, 32955, 46137]	330766219715	12	2234455667788m	369m
[43095, 43095, 46137, 60333, 60333, 72501, 74698]	173968290257310675586	12	1222334456777s	235s
[25857, 32955, 32955, 46137, 56355, 56355, 56355, 57122, 57122, 103173, 127738]	71657068120860582137450271484328	24	4445556666778s	45789s
[19773, 19773, 43095, 43095, 43095, 60333, 60333, 97682, 123981]	114081511905241046125665341	6	2223456667789m	25678m
[32955, 32955, 32955, 33813, 33813, 43095, 43095, 46137, 73695, 73695, 74698, 74698, 103173, 167042]	36177644429955848806916303332263658284995	18	4555666777888p	345679p
[25857, 25857, 25857, 56355, 56355, 56355, 97682]	177664730492120839520	9	3334566678999p	369p
[32955, 32955, 33813, 33813, 33813, 43095, 43095, 72501, 73695, 73695, 74698, 74698, 103173, 162129, 167042]	28653805238928791404500827436001991670701699	6	5556667778999s	456789s
[32955, 32955, 43095, 43095, 44217, 44217, 46137, 60333, 72501, 74698, 74698]	68449955504551067430036867822467	12	1112233344455m	2356m
[32955, 32955, 33813, 33813, 43095, 43095, 46137, 60333, 74698, 162129]	91821557774063163005438418563	6	1233344555666p	23457p
[32955, 32955, 32955, 33813, 33813, 57122, 57122, 73695, 73695]	108969625191750091477837763	18	3344455566678m	369m
[19773, 43095, 43095, 60333, 94809, 97682, 97682]	177675962599850865269	6	1234555666678s	13459s
[25857, 25857, 32955, 32955, 56355, 56355, 78897]	174949893373161374240	12	3333444555678s	24569s
[25857, 25857, 56355, 56355, 56355, 57122, 78897, 127738]	144235065821013457178144	6	4567777888999m	34689m
[32955, 32955, 33813, 33813, 72501, 74698, 103173]	179152101814584282755	6	1222344455566p	1236p
[25857, 25857, 32955, 32955, 56355, 56355, 57122, 57122, 57122, 78897, 127738]	71654983747300245784830914069024	12	1234445556667m	145678m
[32955, 32955, 46137, 60333, 74698, 74698, 74698]	173969232200851573571	6	2333345677889s	12458s
[32955, 32955, 32955, 43095, 43095, 43095, 46137, 60333, 74698]	109121108404300038892609475	6	2344455556678s	134679s
[19773, 43095]	521717	6	1223333445666s	6s
[57122, 72501, 78897]	444658788	6	1233566677788p	34p
[33813, 33813, 43095, 46137, 72501, 162129]	233368220153083598	6	6677788889999p	567p
[56355, 56355, 78897, 127738]	366581150387	12	2223455557888s	679s
[33813, 33813, 43095, 43095, 46137, 74698, 74698, 103173, 162129, 167042]	91950987294714022285870070990	6	1222333444666m	12345m
[19773, 43095, 43095, 56355, 56355, 56355, 97682]	177664730492152242293	6	1112233334567p	12458p
[19773, 43095, 60333, 94809, 97682]	283254958637429	12	1222344556666s	123s
[32955, 57122]	542363	6	1223333444556p	6p
[19773, 43095, 43095, 43095, 43095, 43095, 56355, 56355, 97682, 97682]	88268183281222529889831438965	6	2223456677778m	12345689m
[32955, 32955, 32955, 43095, 43095, 43095, 60333, 74698]	137779175096813663477699	12	2334455666677s	124578s
[32955, 32955, 32955, 43095, 43095, 46137, 46137, 74698, 74698, 94809]	88143255009112179688271339459	6	3334455667789m	24578m
[19773, 43095, 43095, 43095, 43095, 56355, 56355, 94809, 97682, 97682]	88268190122619800128759843445	6	3444455678999p	2356789p
[25857, 25857, 32955, 32955, 78897, 123981, 127738]	182123716888153428512	6	3334567778889m	6789m
[32955, 32955, 57122, 78897]	352159058435	6	1122233346678s	569s
