# Ten-tile direct derivation wait report

allTenTileShapes: 1900269316
enumeratedDerivations: 5536779
tenpaiReports: 3431439

## Reducibility

### Reducible
count: 3416313
waitCoreCacheHits: 3701891
waitCoreCacheMisses: 295762
waitCoreCacheEntries: 295762

### Irreducible
count: 15126

#### Groups by waitDecompositionCodes
groupCount: 199
waitDecompositionCodes	waitDecompositionCodesKey	count	representativeTiles	representativeWaits
[2535, 2535, 3549, 4394, 5577]	169782254700240	18	1234556667p	36p
[1521, 3315, 3315, 4335, 4335, 7514]	145685106842901397	6	6777788999m	5689m
[1989, 1989, 3549, 4394, 4394, 9537]	155657748187348219	6	1233344455s	1345s
[2535, 2535, 4394, 4394, 5577]	169782272263632	24	2344567789p	147p
[1989, 1989, 4335, 4335, 4641, 7293, 7514]	115401927856723278715	6	5556788999m	578m
[3315, 3315, 3549, 5746, 5746]	170977538895344	72	3344556888p	367p
[4335, 4335, 4641, 4641, 7514]	183949323942786	24	2222344666m	1345m
[1989, 1989, 2535, 2535, 4335, 4335, 4394, 4394, 6069, 9826]	61741750446895262793638652667	30	6777888999s	56789s
[3315, 3315, 3315]	231124976	18	2345556666p	147p
[1521, 1521, 2601, 2601, 3315, 3315, 5746, 5746]	84940457033481498875725	18	6667788999p	6789p
[4641, 7514]	370273	48	1333345666p	12p
[2535, 2535, 4641, 5577, 5746, 5746]	135414238154425104	18	1233445555s	1346s
[2535, 2535, 3315, 3315, 3549, 5746, 7293]	114652156126186597584	18	3334456789s	2457s
[3315, 3315, 3549, 4641, 5746]	170965119068144	42	4445677899p	689p
[2601, 2601, 3549, 5746, 7293]	182781342644813	6	1122333555p	1234p
[3315, 3315, 3549, 5577, 5746, 5746]	135414238133750768	6	1222234456s	1347s
[2535, 2535, 3549, 4641, 5577, 5746, 5746]	107248076618329773264	12	5667788889m	4679m
[2535, 2535, 2535, 3549, 5746, 7293]	144762823371551952	6	1233444567p	2358p
[1989, 1989, 3315, 3315, 4335, 4335, 4641, 7514]	91384750495689395516155	24	2223345666m	1346m
[3315, 3315, 7293]	291342320	12	1234445555p	36p
[3549, 5577, 5746, 5746, 5746]	170977575326560	6	3456788889s	3679s
[3315, 3315, 4641, 7514, 9537]	196568861937200	12	6667789999s	578s
[2535, 2535, 3315, 3315, 3549, 5577, 5746]	107247120096390671568	6	3455666789s	2457s
[2601, 2601, 3315, 3315, 3549, 5746]	135391386143456333	24	3344555777p	23456p
[2601, 2601, 3549, 4641, 5577, 5746]	135413046823904333	6	6667788899m	789m
[2535, 2535, 2535, 5577, 5746, 5746]	135414238108634832	12	1234555678s	13469s
[1989, 1989, 3549, 4335, 4335, 4394, 4394]	99834615423384744187	24	3455566677s	23567s
[3315, 3315, 6069, 7514]	232281169136	15	5555667777p	468p
[1521, 1521, 3315, 3315, 3315, 3315, 4641, 4641, 6069, 7514]	57327783885401577495250220557	15	1112334555s	12345s
[2535, 2535, 3549, 4641, 5746, 7293]	144762839790814416	18	5556777889p	679p
[3315, 3315, 4641, 7293, 7514]	183976647535664	6	3335666789p	457p
[3315, 3315, 3315, 5577, 5746]	170976043497968	6	1122223456m	1347m
[3549, 4394, 4394, 5577]	214371555928	12	3445567789s	47s
[2535, 2535, 2535, 3549, 4641, 5746, 5746]	107248067945787745488	18	4556677778s	35689s
[3315, 3315, 7293, 7514]	232293714416	24	5678888999p	457p
[2535, 2535, 3549, 3549, 4641, 5746, 5746]	107248067945812836048	24	2223445567m	3467m
[3315, 7514, 7514]	293302520	6	1222233334m	145m
[1989, 1989, 1989, 4335, 4335, 4335, 4335, 6069, 9826]	77956755120536760525096379	30	4445556777m	45678m
[1521, 1521, 3315, 3315, 5746, 5746]	135414206830695949	18	3456678999m	369m
[2601, 2601, 3315, 3315, 3549, 5577, 5746]	107247120096390675533	6	6677888999p	5678p
[6069, 6069]	352092	15	4446666888p	57p
[3315, 3315, 3315, 4641, 7514, 7514]	145710685228623344	30	2333345666p	12457p
[2535, 2535, 3549, 5746, 5746, 5746]	135414239624104656	12	2333345678s	12458s
[3549, 3549, 4394, 4394]	200958120376	12	2334455667s	36s
[3549, 4641, 5577]	270675088	6	5567788899p	67p
[2535, 2535, 2535, 4641, 5746]	170965093952208	18	3445555678m	3469m
[3315, 6069, 7514]	293284304	6	7777889999s	68s
[2535, 2535, 3549, 5577, 5746]	170976048490704	18	3455678889m	479m
[3549, 5746]	344104	30	3555667788m	34m
[1521, 3315, 4641, 7514]	232259214805	12	5677778889s	489s
[1521, 3315, 3315, 3315, 3315, 4641, 7514, 7514]	91399067259247193542549	18	4445666678s	345789s
[2535, 2535, 4641, 5577, 5746]	170976069190416	6	1234444556p	356p
